Protein consumption (grams per person per day) in 25 European countries. 
Weber (1973).
CN  RM  WM  EG  MK  FH  CS  SF  PS  FV  TT
AL  10  1   1   9   0.0 42  1   6   2   72
AT  9   14  4   20  2.0 28  4   1   4   86
BE  14  9   4   18  5.0 27  6   2   4   89
BG  8   6   2   8   1.0 57  1   4   4   91
CZ  10  11  3   13  2.0 34  5   1   4   83
DK  11  11  4   25  10  22  5   1   2   91
EDE 8   12  4   11  5.0 25  7   1   4   77
FI  10  5   3   34  6.0 26  5   1   1   91
FR  18  10  3   20  6.0 28  5   2   7   99
GR  10  3   3   18  6.0 42  2   8   7   99
HU  5   12  3   10  0.0 40  4   5   4   83
IE  14  10  5   26  2.0 24  6   2   3   92
IT  9   5   3   14  3.0 37  2   4   7   84
NL  10  14  4   23  3.0 22  4   2   4   86
NO  9   5   3   23  10  23  5   2   3   83
PL  7   10  3   19  3.0 36  6   2   7   93
PT  6   4   1   5   14  27  6   5   8   76
RO  6   6   2   11  1.0 50  3   5   3   87
ES  7   3   3   9   7.0 29  6   6   7   77
SE  10  8   4   25  8.0 20  4   1   2   82
CH  13  10  3   24  2.0 26  3   2   5   88
UK  17  6   5   21  4.0 24  5   3   3   88
URS 9   5   2   17  3.0 44  6   3   3   92
WGE 11  13  4   19  3.0 19  5   2   4   80
YU  4   5   1   10  1.0 56  3   6   3   89
