"Estado","Consumo de energia residencial(GWh)","Consumo de energia industrial(GWh)","Consumo de energia comercial(GWh)","Consumo de energia rural(GWh)","Consumo de energia do poder publico(GWh)","Consumo de energia da iluminacao publica(GWh)","Consumo de energia do servico publico(GWh)","Consumo de energia proprio(GWh)","Numero de consumidores(unidade)","Populacao(mil) ","Tarifa media por regiao(R$/MWh) "
"Rondonia","1448","471.4","694.2","367.4","181.2","154.9","56.1","14.5","736437","1806.00","559.98"
"Acre","550","41","250","57","104","49","49","2","278603","901.00","559.98"
"Amazonas","2253","1661","1301","79","460","207","233","14","1045536","4239.00","559.98"
"Roraima","516","22","212","58","87","44","33","2","177697","642.00","559.98"
"Para","3929","11894","1852","319","481","477","280","292","2733140","8734.00","559.98"
"Amapa","518","107","233","4","92","36","20","8","208613","870.00","559.98"
"Tocantins","1122","326","410","264","139","120","68","5","618148","1599.00","559.98"
"Maranhao","3570","1593","1184","265","360","391","346","9","2595105","7134.00","469.19"
"Piaui","1888","191","729","225","205","256","194","11","1328482","3285.00","469.19"
"Ceara","4884","2205","2111","1263","523","571","367","23","3808096","9215.00","469.19"
"Rio Grande do Norte","2365","1186","986","406","214","212","257","13","1494596","3548.00","469.19"
"Paraiba","2189","1393","879","351","241","308","231","7","1707481","4050.00","469.19"
"Alagoas","1557","728","729","223","150","278","233","49","1162055","9646.00","469.19"
"Pernambuco","5413","3596","2631","618","671","553","624","47","3795855","3358.00","469.19"
"Sergipe","1282","1045","575","140","126","225","240","4","941430","2329.00","469.19"
"Bahia","7464","9182","3391","1918","609","1139","1042","81","6225560","14958.00","469.19"
"Sao Paulo","42085","45960","26131","3830","2432","3078","5531","178","19647258","46469.00","518.99"
"Minas Gerais","11801","30023","6126","4141","776","1359","1485","65","9349615","21352.00","518.99"
"Espirito Santo","2649","3774","1600","1026","227","417","212","8","1736865","4086.00","518.99"
"Rio de Janeiro","13459","8040","9018","824","1764","1369","1783","1861","7186574","17415.00","518.99"
"Parana","8155","12815","5838","2656","549","1054","787","216","4989033","11557.00","424.65"
"Santa Catarina","6449","10585","4165","3607","357","652","387","13","3185994","7295.00","424.65"
"Rio Grande do Sul","9195","9400","4450","4289","579","835","709","164","4819355","11445.00","424.65"
"Mato Grosso do Sul","2250","1455","1225","657","222","226","229","7","1140448","2824.00","511.44"
"Mato Grosso","3366","2285","1716","1503","333","370","216","11","1507933","3547.00","511.44"
"Goias","16634","5434","5765","2259","1679","408","666","393","3152474","7163.00","511.44"
"Distrito Federal","2383","592","1825","136","473","415","340","4","1092653","3072.00","511.44"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
